iter	RMSE
0	0.9854513977
1	0.9716744856
2	0.9610846297
3	0.9517478076
4	0.9440145926
5	0.9360262174
6	0.9306879652
7	0.9262197449
8	0.9207921366
9	0.9172155481
10	0.9135536392
11	0.9104273605
12	0.906834513
13	0.9037356833
14	0.9017792865
15	0.9000453895
16	0.8984561793
17	0.8961285538
18	0.8936797183
19	0.8923102151
20	0.8913117767
21	0.8892773442
22	0.8880161644
23	0.8871484633
24	0.8860046269
25	0.8851864119
26	0.8837259846
27	0.8830461888
28	0.8815944883
29	0.8803456638
30	0.8792013376
31	0.8775752574
32	0.8761370464
33	0.8748587875
34	0.8736211519
35	0.8728569657
36	0.8718069201
37	0.8713465141
38	0.8704102527
39	0.8694081733
40	0.8686386811
41	0.8678252712
42	0.8669331168
43	0.8664145094
44	0.8652711264
45	0.8642427742
46	0.8631079804
47	0.8621570267
48	0.8614536819
49	0.8607386468
50	0.8599385569
51	0.8589524467
52	0.8581864206
53	0.8576106617
54	0.8569646044
55	0.8564626479
56	0.8560488622
57	0.8550754054
58	0.8542344224
59	0.8535648592
60	0.8532640321
61	0.8527368054
62	0.852171169
63	0.8515777068
64	0.8511997847
65	0.8507630209
66	0.8495295209
67	0.8487305506
68	0.8484271215
69	0.8475941416
70	0.8469438207
71	0.8464784781
72	0.84578308
73	0.8449214907
74	0.8444375125
75	0.8439047065
76	0.8434729251
77	0.8429462947
78	0.8425649827
79	0.8419538228
80	0.8414429806
81	0.840758369
82	0.840234247
83	0.8396085133
84	0.8392375748
85	0.8389969916
86	0.8382654463
87	0.8377736961
88	0.8374098851
89	0.8365642899
90	0.8359408015
91	0.835453581
92	0.8351052428
93	0.8348206679
94	0.8341567306
95	0.833806557
96	0.8332194004
97	0.8327599053
98	0.8323585473
99	0.8319167155
100	0.8315796482
101	0.8311344572
102	0.830848968
103	0.8299056457
104	0.8295242264
105	0.8292664918
106	0.828948837
107	0.8284214816
108	0.8277561621
109	0.8273790489
110	0.8268055699
111	0.8261852728
112	0.8256898403
113	0.8250381994
114	0.8245197615
115	0.8240535387
116	0.8234201523
117	0.8229949747
118	0.8225546686
119	0.8219762672
120	0.8215920777
121	0.8209909463
122	0.8204937655
123	0.8200477778
124	0.8196032108
125	0.8190988942
126	0.8182882808
127	0.8177515692
128	0.8172940425
129	0.8168986294
130	0.8165737804
131	0.8160213319
132	0.8156231792
133	0.8152950222
134	0.8143875341
135	0.8139737375
136	0.8135062314
137	0.8131487162
138	0.8124585727
139	0.8120478793
140	0.811220053
141	0.8103368442
142	0.8095919656
143	0.8092330709
144	0.8088319074
145	0.8079257421
146	0.8074899499
147	0.8071711252
148	0.8066914223
149	0.8060413023
150	0.8057208714
151	0.8053498545
152	0.804915899
153	0.8045035811
154	0.8042209406
155	0.8039967562
156	0.8035693581
157	0.8028944629
158	0.8026275741
159	0.8023861733
160	0.8021312339
161	0.8015180498
162	0.8010627154
163	0.8007376503
164	0.8000035991
165	0.7997848415
166	0.7991030049
167	0.7987268278
168	0.7982816049
169	0.7978004691
170	0.7972955122
171	0.7969338363
172	0.796696815
173	0.7964166449
174	0.7958454699
175	0.7952179935
176	0.7948057112
177	0.794492501
178	0.7941329511
179	0.7936096387
180	0.79328479
181	0.79292089
182	0.7925845799
183	0.7918328795
184	0.7914262761
185	0.7911312303
186	0.7906903982
187	0.7904021733
188	0.7895960937
189	0.788874723
190	0.7886568689
191	0.7881398269
192	0.7878719978
193	0.7875814567
194	0.7872818897
195	0.7870795833
196	0.7867339497
197	0.7861216362
198	0.7857783438
199	0.7852765976
