iter	Passed	Remaining
0	51	10332
1	91	9078
2	130	8580
3	174	8556
4	215	8399
5	259	8380
6	312	8610
7	365	8770
8	409	8687
9	472	8973
10	524	9008
11	565	8858
12	609	8774
13	650	8638
14	688	8488
15	727	8364
16	765	8243
17	807	8161
18	859	8189
19	906	8160
20	943	8044
21	986	7981
22	1024	7887
23	1061	7787
24	1100	7703
25	1138	7616
26	1179	7557
27	1213	7454
28	1262	7445
29	1306	7403
30	1345	7336
31	1384	7271
32	1426	7217
33	1462	7141
34	1502	7081
35	1537	7005
36	1580	6960
37	1616	6891
38	1660	6853
39	1702	6808
40	1741	6752
41	1791	6737
42	1830	6685
43	1867	6621
44	1911	6584
45	1948	6523
46	1987	6469
47	2024	6411
48	2070	6381
49	2111	6335
50	2151	6286
51	2204	6273
52	2242	6218
53	2278	6160
54	2317	6109
55	2352	6049
56	2391	5999
57	2430	5949
58	2474	5914
59	2515	5868
60	2550	5812
61	2597	5780
62	2637	5734
63	2674	5683
64	2711	5631
65	2746	5577
66	2785	5528
67	2822	5478
68	2856	5423
69	2906	5398
70	2953	5365
71	2991	5318
72	3029	5271
73	3071	5230
74	3108	5181
75	3157	5151
76	3194	5102
77	3240	5068
78	3276	5018
79	3322	4983
80	3362	4940
81	3400	4893
82	3438	4847
83	3483	4810
84	3518	4760
85	3556	4714
86	3598	4673
87	3635	4627
88	3672	4580
89	3710	4534
90	3762	4506
91	3797	4458
92	3834	4411
93	3871	4366
94	3913	4325
95	3951	4280
96	3991	4238
97	4029	4194
98	4067	4150
99	4105	4105
100	4151	4069
101	4196	4031
102	4234	3988
103	4273	3944
104	4313	3902
105	4350	3857
106	4388	3814
107	4427	3771
108	4465	3728
109	4501	3683
110	4551	3649
111	4604	3618
112	4641	3573
113	4679	3530
114	4717	3486
115	4754	3443
116	4793	3400
117	4830	3356
118	4868	3313
119	4909	3273
120	4945	3228
121	4992	3192
122	5034	3151
123	5074	3110
124	5111	3067
125	5151	3025
126	5191	2984
127	5231	2942
128	5274	2902
129	5313	2860
130	5349	2817
131	5394	2778
132	5436	2738
133	5474	2696
134	5513	2654
135	5553	2613
136	5596	2573
137	5636	2532
138	5675	2490
139	5712	2448
140	5751	2406
141	5791	2365
142	5897	2350
143	5939	2309
144	5979	2268
145	6035	2232
146	6073	2189
147	6113	2147
148	6154	2106
149	6192	2064
150	6229	2021
151	6274	1981
152	6317	1940
153	6355	1898
154	6396	1856
155	6435	1815
156	6477	1774
157	6583	1750
158	6621	1707
159	6658	1664
160	6703	1623
161	6744	1582
162	6783	1539
163	6823	1497
164	6867	1456
165	6905	1414
166	6941	1371
167	6982	1329
168	7019	1287
169	7058	1245
170	7109	1205
171	7153	1164
172	7197	1123
173	7239	1081
174	7280	1040
175	7318	997
176	7357	956
177	7397	914
178	7434	872
179	7471	830
180	7516	788
181	7562	747
182	7599	705
183	7635	663
184	7674	622
185	7712	580
186	7752	538
187	7789	497
188	7828	455
189	7872	414
190	7910	372
191	7960	331
192	8010	290
193	8047	248
194	8096	207
195	8133	165
196	8176	124
197	8219	83
198	8259	41
199	8298	0
